Rk,School,Conf,Unnamed:_3_level_1,W,L,Pts,Opp,MOV,Unnamed:_9_level_1,SOS,Unnamed:_11_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,season
145,Georgia Southern,Sun Belt,,20,13,75.6,70.7,4.91,,-0.83,,2.46,-0.78,1.69,100.79,97.20,3.59,2020
146,Colgate,Patriot,,25,9,76.1,68.1,8.03,,-5.63,,2.25,-0.78,1.47,104.91,101.34,3.57,2020
147,Northeastern,CAA,,17,16,71.1,66.4,4.73,,-3.28,,-0.51,1.95,1.45,105.02,101.43,3.60,2020
148,Valparaiso,MVC,,19,16,72.3,71.3,1.03,,1.17,,2.89,-1.46,1.44,103.52,99.92,3.60,2020
149,Toledo,MAC (West),,17,15,74.6,70.1,4.44,,-1.47,,2.48,-1.28,1.20,105.13,102.23,2.90,2020
150,Winthrop,Big South,,24,10,81.3,71.5,9.82,,-6.53,,5.56,-4.40,1.16,103.29,100.90,2.39,2020
151,Massachusetts,A-10,,14,17,68.5,71.2,-2.68,,3.79,,1.20,-0.08,1.12,102.39,99.47,2.92,2020
152,Pennsylvania,Ivy,,16,11,73.7,70.6,3.15,,-0.36,,1.96,-0.89,1.07,101.92,99.12,2.80,2020
153,Tulane,AAC,,12,18,68.3,70.9,-2.60,,3.54,,0.59,0.34,0.94,101.86,99.44,2.42,2020
154,Florida International,CUSA,,19,13,76.7,72.5,4.25,,-1.00,,4.60,-3.71,0.90,102.50,100.07,2.42,2020
155,George Mason,A-10,,17,15,67.1,67.8,-0.63,,1.48,,-1.95,2.80,0.86,100.51,97.97,2.55,2020
156,Ohio,MAC (East),,17,15,71.4,68.5,2.94,,0.17,,-0.09,0.83,0.74,102.64,100.34,2.29,2020
157,Montana,Big Sky,,18,13,70.8,68.5,2.35,,-1.52,,-0.34,0.93,0.59,100.47,97.93,2.54,2020
158,College of Charleston,CAA,,17,14,70.2,68.0,2.16,,-0.84,,-1.23,1.75,0.53,103.80,101.88,1.93,2020
159,Bowling Green,MAC (East),,21,10,74.5,72.9,1.65,,0.20,,3.23,-2.76,0.47,103.12,101.01,2.10,2020
160,Charlotte,CUSA,,16,13,66.3,64.7,1.55,,-1.09,,-5.03,5.49,0.46,98.69,96.27,2.42,2020
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2020
161,Drake,MVC,,20,14,69.4,67.7,1.68,,0.61,,-1.18,1.61,0.43,101.67,99.37,2.31,2020
162,Chattanooga,Southern,,20,13,73.0,68.5,4.52,,-1.90,,0.35,0.04,0.39,104.03,102.18,1.86,2020
163,Northern Kentucky,Horizon,,23,9,72.4,65.3,7.13,,-4.65,,-3.29,3.58,0.28,100.45,98.29,2.16,2020
164,Wofford,Southern,,19,16,72.1,68.5,3.54,,-1.50,,-0.92,1.09,0.17,104.43,102.98,1.45,2020
165,Southern Utah,Big Sky,,17,15,72.8,66.3,6.47,,-2.47,,-1.37,1.47,0.10,97.90,96.68,1.22,2020
166,Towson,CAA,,19,13,70.6,66.4,4.16,,-1.51,,-1.40,1.50,0.09,103.51,101.84,1.67,2020
167,South Alabama,Sun Belt,,20,11,71.3,67.5,3.77,,-1.03,,-1.45,1.53,0.08,104.82,103.08,1.74,2020
168,Old Dominion,CUSA,,13,19,65.6,65.6,-0.03,,0.06,,-4.79,4.82,0.02,96.95,95.30,1.66,2020
169,Western Carolina,Southern,,19,12,78.8,74.7,4.10,,-1.55,,6.47,-6.57,-0.10,105.59,104.44,1.16,2020
170,Southern Illinois,MVC,,16,16,62.6,62.2,0.34,,0.37,,-7.40,7.22,-0.18,97.69,96.18,1.51,2020
171,La Salle,A-10,,15,15,68.0,69.9,-1.93,,1.71,,-1.14,0.91,-0.23,97.72,96.36,1.37,2020
172,Air Force,MWC,,12,20,73.1,74.6,-1.50,,3.02,,3.94,-4.31,-0.37,108.06,107.26,0.80,2020
173,North Florida,A-Sun,,21,12,78.3,73.2,5.06,,-3.25,,6.31,-6.88,-0.57,109.75,108.90,0.86,2020
174,UC Santa Barbara,Big West,,21,10,70.8,66.3,4.55,,-4.06,,-2.32,1.75,-0.57,104.65,103.41,1.24,2020
175,Princeton,Ivy,,14,13,71.5,69.1,2.41,,-1.48,,0.03,-0.78,-0.75,104.55,104.04,0.51,2020
176,Appalachian State,Sun Belt,,18,15,68.4,67.3,1.03,,-0.01,,-3.48,2.67,-0.81,98.75,98.34,0.42,2020
177,Coastal Carolina,Sun Belt,,16,17,78.0,76.3,1.67,,-0.31,,5.78,-6.60,-0.83,103.69,103.44,0.25,2020
178,UAB,CUSA,,19,13,67.3,65.3,2.06,,-1.64,,-4.51,3.57,-0.94,99.65,99.50,0.14,2020
179,Austin Peay,OVC,,21,12,76.3,71.5,4.85,,-4.14,,1.90,-2.88,-0.98,105.24,104.94,0.31,2020
