game_id,date,season,season_type,neutral_site,conference_game,attendance,venue,completed,home_team,home_id,home_score,home_conference_id,away_team,away_id,away_score,away_conference_id,winner,total_points,point_diff
401581824,20231107,2024,2,False,False,2010,Holmes Convocation Center,True,App State Mountaineers,2026,87,99,Oakland City Mighty Oaks,2474,49,99,home,136,38
401577612,20231107,2024,2,False,False,17222,Simon Skjodt Assembly Hall,True,Indiana Hoosiers,84,69,99,Florida Gulf Coast Eagles,526,63,99,home,132,6
401608975,20231107,2024,2,False,False,2692,Baptist Health Arena,True,Eastern Kentucky Colonels,2198,108,99,WVU Tech Golden Bears,2706,72,99,home,180,36
401588586,20231107,2024,2,False,False,3071,Worthen Arena,True,Ball State Cardinals,2050,101,99,Goshen Maple Leafs,3067,40,99,home,141,61
401587132,20231107,2024,2,False,False,5602,Carnesecca Arena,True,St. John's Red Storm,2599,90,99,Stony Brook Seawolves,2619,74,99,home,164,16
401583802,20231107,2024,2,False,False,1677,Ramsey Center,True,Western Carolina Catamounts,2717,106,99,Dalton State Roadrunners,3247,65,99,home,171,41
401581082,20231107,2024,2,False,False,3015,Mullins Center,True,Massachusetts Minutemen,113,92,99,UAlbany Great Danes,399,71,99,home,163,21
401577620,20231107,2024,2,False,False,14044,XFINITY Center,True,Maryland Terrapins,120,68,99,Mount St. Mary's Mountaineers,116,53,99,home,121,15
401575479,20231107,2024,2,False,False,9335,Capital One Arena,True,Georgetown Hoyas,46,94,99,Le Moyne Dolphins,2330,57,99,home,151,37
401593909,20231107,2024,2,False,False,2733,KSU Convocation Center,True,Kennesaw State Owls,338,93,99,Oakwood Ambassadors,3083,46,99,home,139,47
401608973,20231107,2024,2,False,False,4415,The Super Pit,True,North Texas Mean Green,249,83,99,Northern Iowa Panthers,2460,77,99,home,160,6
401597398,20231107,2024,2,False,False,7653,Carver-Hawkeye Arena,True,Iowa Hawkeyes,2294,110,99,North Dakota Fighting Hawks,155,68,99,home,178,42
401594069,20231107,2024,2,False,False,5506,Memorial Gymnasium (TN),True,Vanderbilt Commodores,238,62,99,Presbyterian Blue Hose,2506,68,99,away,130,6
401593829,20231107,2024,2,False,False,1746,Tudor Fieldhouse,True,Rice Owls,242,101,99,St. Thomas (TX) Celts,3170,57,99,home,158,44
401604781,20231107,2024,2,False,False,1400,Dugan Wellness Center,True,Texas A&M-Corpus Christi Islanders,357,111,99,Southwestern Adventist Knights,2903,46,99,home,157,65
401601129,20231107,2024,2,False,False,3362,Arena-Auditorium,True,Wyoming Cowboys,2751,104,99,Northern New Mexico Eagles,3141,56,99,home,160,48
401577627,20231107,2024,2,False,False,10279,Crisler Center,True,Michigan Wolverines,130,99,99,UNC Asheville Bulldogs,2427,74,99,home,173,25
401604765,20231107,2024,2,False,False,2539,Dahlberg Arena,True,Montana Grizzlies,149,107,99,Northwest Indian RedHawks,3218,59,99,home,166,48
401604386,20231107,2024,2,False,False,3046,Dee Events Center,True,Weber State Wildcats,2692,96,99,Benedictine (AZ) Redhawks,110031,62,99,home,158,34
401602689,20231107,2024,2,False,False,9501,ExtraMile Arena,True,Boise State Broncos,68,89,99,Vanguard Lions,2585,55,99,home,144,34
401587157,20231107,2024,2,False,False,931,Wintrust Arena,True,DePaul Blue Demons,305,74,99,Purdue Fort Wayne Mastodons,2870,82,99,away,156,8
